Date,gdp,cpi,cpi_core,mmr,neer,eur_tnd,usd_tnd,gdp_ea,cpi_ea,nr_ea,wp_oil,cpi_freshfood,cpi_administ,cpi_core1,cpi_food,cpi_energy,cpi_core2,fisc_bal,gdp_agriculture
2007Q3,18639.6022413275,72.6077374937572,75.2722916608042,5.2,127.086561196021,1.7545,1.27684,2440328,88.4633333333333,4.50049683794466,143.21474578158,61.9738543962626,78.2609925419123,72.3638734687761,65.6828230238014,73.2699104218359,75.2722916608042,1.2696611679651,1561.4674559796
2007Q4,18899.1845098768,73.4589143343272,75.8895802852785,5.23666666666667,126.140410469202,1.78654666666667,1.23273666666667,2453184.7,89.5866666666667,4.7247683933153,169.862752270233,62.3007605334356,79.6309057389739,73.0985371449934,66.790019768586,75.2895115898636,75.8895802852785,-7.08620108584328,1608.2235954973
2008Q1,19377.530599833,74.1023214711563,76.1550089510123,5.27,126.241466329738,1.79754333333333,1.19974,2464400.9,90.1733333333333,4.48000303789777,184.494028212916,62.7488475778225,80.8935578410514,73.5130878328205,68.0984975743619,76.9450028691867,76.1550089510123,0.00283671738369327,1521.13083565343
2008Q2,19280.0000646699,75.029696610109,77.1857686181162,5.21,125.273936806295,1.82744,1.16975333333333,2456494.4,91.6666666666667,4.86046825396825,233.737813896531,61.5762604738724,82.2474010012577,74.6926578081633,68.1742856459093,79.9301618094266,77.1857686181162,1.62439939343892,1533.02678614004
2008Q3,19486.8119798219,75.7750085836969,77.6072818214009,5.19666666666667,125.060463459241,1.81590666666667,1.20841333333333,2443805.5,91.9233333333333,4.98177627203714,220.620556942699,62.5322800174086,83.1509083928774,75.3251674528679,69.3452086425491,82.0449396254412,77.6072818214009,3.81950554615048,1567.05277406561
2008Q4,19525.0263971524,76.7385962014954,78.4627901140659,5.21,124.382828296431,1.77843333333333,1.35081666666667,2400645.4,91.6966666666667,4.21466866804693,106.65564019784,64.5829411733412,83.4916000341408,76.3332656716376,70.6699850891977,82.701724326153,78.4627901140659,-7.70072768894337,1592.03965636449
2009Q1,19541.604558866,76.836021330842,78.5543760856903,4.47666666666667,120.97723330121,1.8379,1.41054666666667,2325763.2,91.09,2.01167611832612,85.8410598132922,64.8641835734353,83.6060883196743,76.3849356709156,71.1905345724751,81.3755188550535,78.5543760856903,0.196028059339826,1656.62444724322
2009Q2,19831.4652282057,77.6690970695145,79.3275238095084,4.26,119.76082884873,1.87474666666667,1.37651,2324910.4,91.85,1.31083795093795,112.838944639704,66.8723301724955,84.1690251676621,77.0906050585755,72.3979209050718,81.4317519668654,79.3275238095084,5.40647384468996,1689.13248930359
2009Q3,20001.1396860018,78.3036220291554,79.8121275452402,4.25,120.262686221872,1.88760333333333,1.32021,2333658.1,91.5933333333333,0.86917454043541,130.479174287122,68.6816521077603,84.7072980220893,77.5220810096776,73.5903873456358,81.4422591229462,79.8121275452402,-0.464802839829862,1706.1498355247
2009Q4,20256.1550502443,79.0699929041216,80.6636230797053,4.23,119.605287315949,1.91296666666667,1.29393333333333,2344215.2,92.0833333333333,0.721911976911977,143.068433022153,69.2749848985897,85.0431469973973,78.5119543673069,74.3345864286346,81.535831495411,80.6636230797053,-16.0219710713461,1734.41369424898
2010Q1,20508.0722628403,79.5165560358039,80.9926480686682,4.12666666666667,119.154002923805,1.89123333333333,1.3661,2353976.4,92.09,0.662135507246377,146.280952305221,69.7630246214728,85.6738751943011,78.8696951080984,74.8913466234832,82.6339400102289,80.9926480686682,5.26743098951926,1498.49742491188
2010Q2,20599.0717135975,80.0670624778398,81.5787056317581,4.28666666666667,118.202731783118,1.87153333333333,1.47163333333333,2376796.4,93.3133333333333,0.685977633477634,150.142336869224,69.990588724333,86.2446925279204,79.4786945931916,75.2530239353666,83.5294710520728,81.5787056317581,3.91916047521189,1525.74788743879
2010Q3,20771.9747495295,80.7528852366746,82.0262840807851,4.55,116.947294141405,1.89756666666667,1.46873333333333,2387225.8,93.1666666666667,0.875015151515151,145.816568329649,71.2413315301054,87.310790103914,79.8811799552488,76.5520116749678,84.1770342110847,82.0262840807851,1.88469933558803,1554.30148830836
2010Q4,20630.2056624958,81.5055504494093,82.8123080408541,4.76333333333333,116.303840450199,1.9297,1.41913333333333,2402420.6,93.9533333333333,1.02043961352657,165.645127944146,71.8709804027287,87.754768463766,80.7938782615818,77.2708176147561,84.7537912677307,82.8123080408541,-14.714008652842,1590.19973137814
2011Q1,19944.1497133544,81.8139598471714,83.1308455939696,4.65333333333333,116.067382288337,1.93573333333333,1.41666666666667,2422545.4,94.3733333333333,1.09316994478951,200.187662017525,72.9190608003533,87.422266643742,81.2270762579395,77.4230425876886,85.5174398669532,83.1308455939696,0.600742164364021,1659.59520395466
2011Q2,20182.2618774773,82.4082469414475,83.6959112540093,4.46666666666667,115.019920148854,1.97683333333333,1.3729,2422719.7,95.8933333333333,1.4116307814992,223.521366433944,73.8869654111749,87.5326895298393,81.9541072781331,78.2529910064602,85.5476620457061,83.6959112540093,4.56251479990529,1696.8422023679
2011Q3,20250.0507345867,83.4235876959372,84.3569321143354,3.74975333333333,115.284560603004,1.9636,1.3903,2425878.9,95.6933333333333,1.56205351653178,214.64717950349,77.6169106196801,87.6677292492487,82.7866684461697,80.4432767870761,85.5891058137513,84.3569321143354,-0.0383123695905955,1736.44156587199
