"Variables ->","gdp","gdp_agriculture","cpi","cpi_core1","cpi_freshfood","cpi_administ","fisc_bal","mmr","neer","eur_tnd","usd_tnd","gdp_ea","cpi_ea","nr_ea","cpi_us","wp_oil","gdp_nom","credit_total","credit_eses","credit_houshl","gdp_agr_nom","credit_agriculture","cred_new_flows_u","cred_new_ir","cred_new_hh_flows_u","cred_new_hh_ir","cred_new_eses_flows_u","cred_new_eses_ir","il_ceil","gdpxa_nom","credxa","cred_new_flows","cred_new_flows2"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]","Series[104-by-1]"
"2010Q1",20519.2599999999983993,1509.0699999999999363,79.5600000000000023,78.9800000000000040,69.5799999999999983,85.7999999999999972,5.2999999999999998,4.1299999999999999,119.1500000000000057,1.8899999999999999,1.3700000000000001,2354649.8999999999068677,92.4300000000000068,0.6600000000000000,91.8700000000000045,151.9000000000000057,16247.2800000000006548,37028.3899999999994179,27961.0900000000001455,9075.2299999999995634,1100.3985359999999218,1100.3985359999999218,NaN,NaN,NaN,NaN,NaN,NaN,8.4271189119999992,15146.8814640000000509,35927.9914639999988140,NaN,NaN
"2010Q2",20615.3699999999989814,1538.0000000000000000,80.1500000000000057,79.4800000000000040,70.4399999999999977,86.3100000000000023,3.8999999999999999,4.2900000000000000,118.2000000000000028,1.8700000000000001,1.4700000000000000,2377503.8999999999068677,92.8900000000000006,0.6899999999999999,91.6200000000000045,143.3000000000000114,16460.8800000000010186,38996.9199999999982538,29396.2599999999983993,9605.7900000000008731,1122.1779779999999391,1122.1779779999999391,NaN,NaN,NaN,NaN,NaN,NaN,8.4271189119999992,15338.7020220000013069,37874.7420219999985420,NaN,NaN
"2010Q3",20752.7599999999983993,1547.5799999999999272,80.7900000000000063,79.9899999999999949,71.0799999999999983,87.2500000000000000,1.8999999999999999,4.5499999999999998,116.9500000000000028,1.8999999999999999,1.4700000000000000,2387972.7999999998137355,93.2999999999999972,0.8800000000000000,91.8700000000000045,144.4000000000000057,16672.0099999999983993,40712.1100000000005821,30717.2400000000016007,9973.8799999999991996,1151.9799350000000686,1151.9799350000000686,NaN,NaN,NaN,NaN,NaN,NaN,8.1732760130000006,15520.0300649999990128,39560.1300649999975576,NaN,NaN
"2010Q4",20607.6399999999994179,1575.1700000000000728,81.3499999999999943,80.5900000000000034,71.8199999999999932,87.6200000000000045,-14.6999999999999993,4.7599999999999998,116.2999999999999972,1.9299999999999999,1.4199999999999999,2402922.7000000001862645,93.9000000000000057,1.0200000000000000,92.6800000000000068,169.8000000000000114,16757.5800000000017462,42394.1600000000034925,31893.7700000000004366,10506.2600000000002183,1155.7029689999999391,1155.7029689999999391,NaN,NaN,NaN,NaN,NaN,NaN,8.1732760130000006,15601.8770310000018071,41238.4570310000053723,NaN,NaN
"2011Q1",19966.5000000000000000,1671.3599999999999000,81.8299999999999983,81.2999999999999972,72.6099999999999994,87.5199999999999960,0.6000000000000000,4.6500000000000004,116.0699999999999932,1.9399999999999999,1.4199999999999999,2423240.6000000000931323,94.7000000000000028,1.0900000000000001,93.7399999999999949,204.0999999999999943,16528.5900000000001455,44130.4700000000011642,33252.9499999999970896,10888.1499999999996362,1232.1612860000000182,1232.1612860000000182,NaN,NaN,NaN,NaN,NaN,NaN,8.4308463580000002,15296.4287139999996725,42898.3087139999988722,NaN,NaN
"2011Q2",20210.2500000000000000,1707.6400000000001000,82.5199999999999960,81.9899999999999949,74.4300000000000068,87.6299999999999955,4.5999999999999996,4.4699999999999998,115.0199999999999960,1.9800000000000000,1.3700000000000001,2423186.8999999999068677,95.4800000000000040,1.4099999999999999,94.8199999999999932,217.0000000000000000,16917.0200000000004366,45655.0100000000020373,34332.6800000000002910,11328.3299999999999272,1252.1081500000000233,1252.1081500000000233,NaN,NaN,NaN,NaN,NaN,NaN,8.4308463580000002,15664.9118500000004133,44402.9018500000020140,NaN,NaN
"2011Q3",20225.6500000000014552,1727.5399999999999636,83.4699999999999989,82.8900000000000006,77.4099999999999966,87.6200000000000045,0.0000000000000000,3.7500000000000000,115.2800000000000011,1.9600000000000000,1.3899999999999999,2426203.6000000000931323,95.8299999999999983,1.5600000000000001,95.3400000000000034,212.5000000000000000,16964.7400000000016007,46899.5599999999976717,35163.8700000000026193,11715.2800000000006548,1300.4469619999999850,1300.4469619999999850,NaN,NaN,NaN,NaN,NaN,NaN,8.3626295800000001,15664.2930380000016157,45599.1130379999958677,NaN,NaN
"2011Q4",20410.3899999999994179,1765.2300000000000182,84.4699999999999989,83.7699999999999960,79.6200000000000045,88.4000000000000057,-17.1999999999999993,3.2400000000000002,114.5300000000000011,1.9600000000000000,1.4500000000000000,2416281.3999999999068677,96.6400000000000006,1.5000000000000000,95.7500000000000000,213.4000000000000057,17337.4300000000002910,48278.1699999999982538,35989.5100000000020373,12292.3899999999994179,1351.9210789999999633,1351.9210789999999633,NaN,NaN,NaN,NaN,NaN,NaN,8.3626295800000001,15985.5089210000005551,46926.2489209999985178,NaN,NaN
"2012Q1",20697.0600000000013097,1819.8699999999998909,85.4399999999999977,84.6800000000000068,82.3499999999999943,88.7199999999999989,4.7000000000000002,3.3500000000000001,112.5400000000000063,1.9800000000000000,1.5100000000000000,2411180.8999999999068677,97.2699999999999960,1.0400000000000000,96.3199999999999932,228.5999999999999943,17857.9700000000011642,49725.7200000000011642,36685.2200000000011642,13051.8099999999994907,1468.4734759999998914,1468.4734759999998914,1364.4141259999998965,5.5735226280000001,412.7541572999999744,6.5274406479999998,820.4889047000000346,5.1507742590000003,7.6943685459999998,16389.4965240000019548,48257.2465240000019548,1479.5242270554099377,2959.0484541108198755
"2012Q2",20918.0600000000013097,1866.3099999999999454,86.2199999999999989,85.6800000000000068,83.2500000000000000,88.9000000000000057,-2.2000000000000002,3.6800000000000002,110.1800000000000068,2.0099999999999998,1.5700000000000001,2404793.2999999998137355,97.8499999999999943,0.7000000000000000,96.6299999999999955,204.0000000000000000,18223.2299999999995634,50914.5400000000008731,37247.3300000000017462,13671.7800000000006548,1528.5093899999999394,1528.5093899999999394,1730.1158279999999650,5.8185631590000000,520.7497147000000268,6.8123505379999996,1048.3657539999999244,5.3822647469999998,7.6943685459999998,16694.7206100000003062,49386.0306100000016158,1665.3380932880500040,3330.6761865761000081
