"Variables ->","l_y_ez","l_y_ez_gap","l_cpi_ez","l_cpi_us","i_ez","eur_usd","r_ez_gap","r_ez_tnd","l_wp_oil","l_rp_oil_gap"
"2022Q1",1.48162147e+03,-4.70078000e-01,4.69445527e+00,4.69445527e+00,-2.49300000e-03,8.50000000e-01,1.09517400e+00,-2.79697000e+00,4.38202663e+02,2.47053260e+01
"2022Q2",1.48214010e+03,-2.53035000e-01,4.69766951e+00,4.69766951e+00,-3.13500000e-03,8.45000000e-01,9.46113000e-01,-2.86864200e+00,4.31905487e+02,1.74088180e+01
"2022Q3",1.48263836e+03,-6.37030000e-02,4.70133748e+00,4.70133748e+00,-2.96500000e-03,8.43961000e-01,9.99110000e-01,-2.94184000e+00,4.28046338e+02,1.26052580e+01
"2022Q4",1.48312249e+03,1.04896000e-01,4.70542484e+00,4.70542484e+00,-2.66400000e-03,8.47294000e-01,9.41590000e-01,-2.99691200e+00,4.26163521e+02,9.80298600e+00
"2023Q1",1.48360653e+03,2.67452000e-01,4.71002647e+00,4.71002647e+00,-2.28400000e-03,8.48579000e-01,8.91874000e-01,-3.03809300e+00,4.25354545e+02,8.08685400e+00
"2023Q2",1.48398934e+03,3.23433000e-01,4.71500757e+00,4.71500757e+00,-1.68600000e-03,8.50129000e-01,8.14922000e-01,-3.02873300e+00,4.24687531e+02,6.53800900e+00
"2023Q3",1.48433480e+03,3.37244000e-01,4.72025542e+00,4.72025542e+00,-8.12000000e-04,8.51436000e-01,6.32842000e-01,-2.89726100e+00,4.24134752e+02,5.13636900e+00
"2023Q4",1.48466341e+03,3.29870000e-01,4.72566038e+00,4.72566038e+00,-1.56000000e-04,8.52111000e-01,3.46618000e-01,-2.76754500e+00,4.23649300e+02,3.83675500e+00
"2024Q1",1.48495581e+03,2.82384000e-01,4.73144600e+00,4.73144600e+00,4.96380000e-02,8.52092000e-01,2.76095000e-01,-2.64362900e+00,4.23283995e+02,2.69106100e+00
"2024Q2",1.48526146e+03,2.44640000e-01,4.73728410e+00,4.73728410e+00,1.16007000e-01,8.51665000e-01,2.32562000e-01,-2.52028200e+00,4.23229824e+02,1.88675700e+00
"2024Q3",1.48557511e+03,2.11724000e-01,4.74314847e+00,4.74314847e+00,2.21390000e-01,8.51379000e-01,1.30369000e-01,-2.29332500e+00,4.23390433e+02,1.32249700e+00
"2024Q4",1.48589790e+03,1.85119000e-01,4.74900091e+00,4.74900091e+00,3.39756000e-01,8.50964000e-01,7.69180000e-02,-2.09691900e+00,4.23698745e+02,9.26828000e-01
"2025Q1",1.48622639e+03,1.61644000e-01,4.75482900e+00,4.75482900e+00,4.88159000e-01,8.50753000e-01,-1.22460000e-02,-1.82611300e+00,4.24108404e+02,6.49466000e-01
"2025Q2",1.48656226e+03,1.43254000e-01,4.76059609e+00,4.76059609e+00,6.44069000e-01,8.50425000e-01,-5.73130000e-02,-1.59180400e+00,4.24587427e+02,4.55079000e-01
"2025Q3",1.48690287e+03,1.27522000e-01,4.76629311e+00,4.76629311e+00,7.95896000e-01,8.49981000e-01,-7.65070000e-02,-1.38833400e+00,4.25113749e+02,3.18865000e-01
"2025Q4",1.48724651e+03,1.12960000e-01,4.77191812e+00,4.77191812e+00,9.37837000e-01,8.49475000e-01,-8.14730000e-02,-1.21096300e+00,4.25672124e+02,2.23422000e-01
"2026Q1",1.48759258e+03,9.91380000e-02,4.77747371e+00,4.77747371e+00,1.06757100e+00,8.48952000e-01,-7.89970000e-02,-1.05570800e+00,4.26252024e+02,1.56550000e-01
"2026Q2",1.48794100e+03,8.61670000e-02,4.78296390e+00,4.78296390e+00,1.18470200e+00,8.48431000e-01,-7.34170000e-02,-9.19227000e-01,4.26846161e+02,1.09697000e-01
"2026Q3",1.48829176e+03,7.41670000e-02,4.78839548e+00,4.78839548e+00,1.29002400e+00,8.47919000e-01,-6.69550000e-02,-7.98711000e-01,4.27449497e+02,7.68700000e-02
"2026Q4",1.48864499e+03,6.34210000e-02,4.79377555e+00,4.79377555e+00,1.38474400e+00,8.47417000e-01,-6.05870000e-02,-6.91794000e-01,4.28058541e+02,5.38700000e-02
